study,author,outcome_domain,outcome,outcome_timing,measure,es,ci.lo,ci.hi,sample.size,se,var,paste_es
Massachusetts Adolescent Outreach Program for Youths in Intensive Foster Care,"Greeson, Garcia, Kim & Courtney (2015)",education,High school diploma or GED,24 months,g,0.07455361362573835,-0.2586219520244849,0.40772917927596164,179,0.16999065711322744,0.028896823505786862,"0.07 [-0.26, 0.41]"
Massachusetts Adolescent Outreach Program for Youths in Intensive Foster Care,"Greeson, Garcia, Kim & Courtney (2015)",education,Attended college,24 months,g,0.40896936004113393,0.07942676429656725,0.7385119557857006,179,0.16813706697875916,0.028270073292219748,"0.41 [0.08, 0.74]"
Massachusetts Adolescent Outreach Program for Youths in Intensive Foster Care,"Greeson, Garcia, Kim & Courtney (2015)",education,College persistence,24 months,g,0.42023377097729797,0.08357422705368533,0.7568933149009106,179,0.17176822971194383,0.029504324738375103,"0.42 [0.08, 0.76]"
Life Skills Training Program: Los Angeles County,"Greeson, Garcia, Kim, Thompson & Courtney (2015)",education,High school diploma or GED,24 months,g,0.024808603091478,-0.19232629583217176,0.24194350201512776,411,0.1107851473988207,0.012273348884178428,"0.02 [-0.19, 0.24]"
Life Skills Training Program: Los Angeles County,"Greeson, Garcia, Kim, Thompson & Courtney (2015)",education,Attended college,24 months,g,-0.14620405095868041,-0.3670139145082012,0.0746058125908404,411,0.11266016380466218,0.012692312508493312,"-0.15 [-0.37, 0.07]"
"Independent Living – Employment Services Program, Kern County, CA",Zinn & Courtney (2017),education,High school diploma or GED,24 months,g,-0.016008036419688575,-0.3241754817886997,0.2921594089493226,229,0.15723117761336264,0.02472164321368479,"-0.02 [-0.32, 0.29]"
"Independent Living – Employment Services Program, Kern County, CA",Zinn & Courtney (2017),education,Attended college,24 months,g,0.19183499013402838,-0.22298192418825524,0.606651904456312,229,0.21164517184719037,0.044793678766226745,"0.19 [-0.22, 0.61]"
Better Futures,"Geenen, Powers & Phillips (2015)",education,Undertook postsecondary education,16 months,g,0.8217488365079693,0.06463813816845321,1.5788595348474854,38,0.38628806667444343,0.14921847045507927,"0.82 [0.06, 1.58]"
TAKE CHARGE,"Powers L, Geenen, Powers J et al (2012)",education,Undertook postsecondary education,24 months,g,0.423312391690313,-0.20998612864095723,1.0566109120215832,69,0.3231174273234857,0.10440487184014806,"0.42 [-0.21, 1.06]"
Better Futures,"Geenen, Powers & Phillips (2015)",education,High school diploma or GED,16 months,g,0.38368846209810176,-0.67362577287761,1.4410026970738137,38,0.5394559508826039,0.2910127229426543,"0.38 [-0.67, 1.44]"
TAKE CHARGE,"Powers L, Geenen, Powers J et al (2012)",education,High school diploma or GED,24 months,g,0.4267088773739783,-0.1064613116203274,0.9598790663682839,69,0.27203060525595585,0.07400065019592168,"0.43 [-0.11, 0.96]"
YVLifeSet,"Courtney, Valentine and Skemer (2019)",education,High school diploma,12 months,g,0.07020453475666433,-0.0619770159694448,0.20238608548277345,1114,0.06744080593762966,0.004548262305517025,"0.07 [-0.06, 0.2]"
YVLifeSet,"Courtney, Valentine and Skemer (2019)",education,GED,12 months,g,-0.04830128165317933,-0.2252068925790886,0.1286043292727299,1114,0.09025962329987601,0.00814679959823552,"-0.05 [-0.23, 0.13]"
